2015-08	4.80521184595978E+020
2015-09	7.04646794576745E+019
2015-10	7.41693180933386E+019
2015-11	5.94847438625028E+019
2015-12	2.67640961839406E+019
2016-01	6.10660704771959E+019
2016-02	6.55476087599054E+019
2016-03	4.58530641277808E+019
2016-04	2.26706320470541E+019
2016-05	4.70466095244682E+019
2016-06	3.04903348500656E+019
2016-07	9.57782351058272E+019
2016-08	5.90819873729021E+019
2016-09	3.26276122475572E+019
2016-10	3.24444263397094E+019
2016-11	3.96443164383512E+019
2016-12	6.14665867753807E+019
2017-01	5.62028595653517E+019
2017-02	5.558009016263E+019
2017-03	1.77021580942223E+020
2017-04	1.1135007462191E+020
2017-05	1.24847773651933E+020
2017-06	5.67877223093661E+019
2017-07	6.4981463792721E+019
2017-08	4.82739565188533E+019
2017-09	3.43888852182794E+019
2017-10	2.6736910424748E+019
2017-11	2.96411032747405E+019
2017-12	1.37370465801152E+019
2018-01	1.11645727207502E+019
2018-02	6.23036279509082E+018
2018-03	2.72807989116236E+018
2018-04	2.4492682348521E+018
2018-05	2.49819091365313E+018
2018-06	2.80852341630564E+018
2018-07	2.27493475543961E+018
2018-08	2.39895079811265E+018
2018-09	3.73348110198245E+018
2018-10	3.07040214302591E+018
2018-11	5.39790904890172E+018
2018-12	5.94489416348474E+018
2019-01	4.45481388890249E+018
2019-02	3.9808452645114E+018
2019-03	3.82327466867793E+018
2019-04	4.12802453200911E+018
2019-05	4.00527741744583E+018
2019-06	3.03624277670924E+018
