1970-01	0
2015-07	0
2015-08	16319.7913867961
2015-09	34724.8653053864
2015-10	44301.4696755181
2015-11	53552.6777414118
2015-12	124291.348495223
2016-01	118308.437869406
2016-02	126184.549401824
2016-03	170526.479225064
2016-04	167885.052138682
2016-05	241870.010077889
2016-06	392764.172333143
2016-07	262196.677566019
2016-08	240744.824259143
2016-09	280443.532629151
2016-10	325142.920069039
2016-11	299302.599607247
2016-12	237043.849082036
2017-01	252581.158931967
2017-02	308694.859874345
2017-03	434328.312294635
2017-04	529232.541876239
2017-05	1249924.5715409
2017-06	2444173.44015209
2017-07	2647347.84803734
2017-08	4152776.92456807
2017-09	5256754.88529607
2017-10	4454330.92270748
2017-11	4154794.32517575
2017-12	6834375.23944463
2018-01	7258885.05612396
2018-02	6583535.26771392
2018-03	5940778.18376436
2018-04	6540318.33788714
2018-05	7320048.13132804
2018-06	7074019.63742277
2018-07	7274120.34007343
2018-08	7121787.85666698
2018-09	6897801.35675664
2018-10	6011133.63818657
2018-11	5880545.84297516
2018-12	6124541.22849713
2019-01	6021562.79130502
2019-02	6826033.00907611
2019-03	6342491.21471595
2019-04	6389031.86123587
2019-05	7119118.92134458
2019-06	7131027.49140197
